ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20250704,109.54,110.35,108.63,109.03,109.54,-0.51,-0.4656,104104.0,3454495.46
002594.SZ,20250707,108.44,108.86,108.19,108.24,109.03,-0.79,-0.7246,88208.0,2901015.56
002594.SZ,20250708,107.71,108.63,107.29,107.68,108.24,-0.56,-0.5174,116918.0,3825413.67
002594.SZ,20250709,107.68,108.11,107.31,107.32,107.68,-0.36,-0.3343,121633.0,3969384.13
002594.SZ,20250710,107.32,107.41,105.03,105.81,107.32,-1.51,-1.407,210022.0,6741345.47
002594.SZ,20250711,105.38,107.67,105.09,106.7,105.81,0.89,0.8411,168270.0,5456832.02
002594.SZ,20250714,106.7,106.7,104.61,104.91,106.7,-1.79,-1.6776,172309.0,5502331.85
002594.SZ,20250715,104.82,107.06,104.75,106.41,104.91,1.5,1.4298,162791.0,5252631.32
002594.SZ,20250716,106.42,107.36,106.42,106.63,106.41,0.22,0.2067,110758.0,3594544.24
002594.SZ,20250717,107.06,108.28,106.76,108.05,106.63,1.42,1.3317,156891.0,5138610.96
002594.SZ,20250718,108.42,108.54,107.14,108.41,108.05,0.36,0.3332,136866.0,4482466.76
002594.SZ,20250721,108.04,110.06,107.8,110.06,108.41,1.65,1.522,153945.0,5102459.15
002594.SZ,20250722,110.35,112.66,109.76,112.55,110.06,2.49,2.2624,214164.0,7227731.01
002594.SZ,20250723,112.69,112.99,111.01,111.36,112.55,-1.19,-1.0573,158907.0,5395840.27
002594.SZ,20250724,111.36,114.15,111.22,112.89,111.36,1.53,1.3739,189063.0,6489370.1
002594.SZ,20250725,112.33,112.46,110.35,111.32,112.89,-1.57,-1.3907,157041.0,5307866.61
002594.SZ,20250728,111.32,111.7,110.52,111.01,111.32,-0.31,-0.2785,117057.0,3947000.99
002594.SZ,20250729,112.01,112.5,109.77,111.42,111.01,0.41,0.3693,387360.0,4322742.01
002594.SZ,20250730,108.05,111.16,107.12,108.7,111.42,-2.72,-2.4412,524834.0,5743878.67
002594.SZ,20250731,108.2,108.2,105.0,105.24,108.7,-3.46,-3.1831,599499.0,6344900.79
002594.SZ,20250801,104.95,106.24,104.36,105.8,105.24,0.56,0.5321,362337.0,3816659.56
002594.SZ,20250804,104.0,105.14,102.57,104.88,105.8,-0.92,-0.8696,412937.0,4293903.59
002594.SZ,20250805,104.88,105.21,103.78,104.86,104.88,-0.02,-0.0191,338350.0,3539636.64
