ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000333.SZ,20250704,68.99,69.9,68.73,69.56,68.99,0.57,0.8262,211462.0,1548790.55
000333.SZ,20250707,69.3,69.53,68.47,68.68,69.56,-0.88,-1.2651,215453.0,1567324.87
000333.SZ,20250708,68.68,68.82,68.23,68.37,68.68,-0.31,-0.4514,256867.0,1856483.05
000333.SZ,20250709,68.23,68.49,67.97,67.97,68.37,-0.4,-0.5851,272053.0,1958489.42
000333.SZ,20250710,68.01,68.13,67.53,67.86,67.97,-0.11,-0.1618,231514.0,1656983.41
000333.SZ,20250711,67.91,68.92,67.87,68.61,67.86,0.75,1.1052,320554.0,2324471.0
000333.SZ,20250714,68.6,69.3,68.14,69.2,68.61,0.59,0.8599,233739.0,1702246.96
000333.SZ,20250715,69.21,69.58,68.93,69.3,69.2,0.1,0.1445,249010.0,1821265.54
000333.SZ,20250716,69.55,70.14,68.92,69.0,69.3,-0.3,-0.4329,206888.0,1514278.42
000333.SZ,20250717,68.87,69.51,68.73,68.76,69.0,-0.24,-0.3478,247300.0,1804135.16
000333.SZ,20250718,68.98,69.37,68.65,68.95,68.76,0.19,0.2763,219512.0,1596482.22
000333.SZ,20250721,68.74,69.07,68.54,68.68,68.95,-0.27,-0.3916,308971.0,2244011.06
000333.SZ,20250722,68.71,69.31,68.41,69.29,68.68,0.61,0.8882,357204.0,2602924.27
000333.SZ,20250723,69.3,69.91,69.28,69.58,69.29,0.29,0.4185,369872.0,2718700.8
000333.SZ,20250724,69.77,70.01,69.19,69.59,69.58,0.01,0.0144,290699.0,2134051.79
000333.SZ,20250725,69.48,69.48,68.68,68.88,69.59,-0.71,-1.0203,244562.0,1780421.84
000333.SZ,20250728,68.94,69.03,67.97,68.1,68.88,-0.78,-1.1324,377736.0,2725637.11
000333.SZ,20250729,68.1,68.23,67.23,67.44,68.1,-0.66,-0.9692,398369.0,2843589.79
000333.SZ,20250730,67.68,68.86,67.4,68.26,67.44,0.82,1.2159,411325.0,2964849.15
000333.SZ,20250731,68.16,68.18,66.15,66.45,68.26,-1.81,-2.6516,694777.0,4895784.25
000333.SZ,20250801,66.46,67.18,66.36,67.01,66.45,0.56,0.8427,286447.0,2019147.91
000333.SZ,20250804,66.79,67.21,66.46,67.16,67.01,0.15,0.2238,197766.0,1398398.73
000333.SZ,20250805,67.32,67.7,66.91,67.57,67.16,0.41,0.6105,191748.0,1365340.86
000333.SZ,20250806,67.57,67.95,67.2,67.88,67.57,0.31,0.4588,221358.0,1583549.58
000333.SZ,20250807,67.7,68.09,67.41,67.67,67.88,-0.21,-0.3094,203616.0,1456650.77
000333.SZ,20250808,67.59,68.0,67.49,67.76,67.67,0.09,0.133,201184.0,1439938.21
000333.SZ,20250811,67.5,67.99,67.39,67.93,67.76,0.17,0.2509,179124.0,1282650.77
000333.SZ,20250812,67.92,68.58,67.78,68.09,67.93,0.16,0.2355,240476.0,1734351.32
000333.SZ,20250813,68.14,68.43,67.78,67.99,68.09,-0.1,-0.1469,253847.0,1827058.28
000333.SZ,20250814,67.97,69.15,67.89,68.47,67.99,0.48,0.706,455149.0,3301054.4
000333.SZ,20250815,68.47,68.54,67.98,68.44,68.47,-0.03,-0.0438,274700.0,1980637.24
000333.SZ,20250818,68.45,68.69,67.79,68.01,68.44,-0.43,-0.6283,542998.0,3906936.96
000333.SZ,20250819,69.3,69.7,68.35,68.8,68.01,0.79,1.1616,537603.0,3916336.8
000333.SZ,20250820,68.36,68.46,67.7,68.37,68.8,-0.43,-0.625,403770.0,2901846.35
000333.SZ,20250821,68.24,68.63,67.84,68.08,68.37,-0.29,-0.4242,338014.0,2436115.38
000333.SZ,20250822,68.13,68.34,67.83,68.24,68.08,0.16,0.235,391389.0,2814332.71
000333.SZ,20250825,68.27,69.91,68.27,69.6,68.24,1.36,1.993,700234.0,5110086.59
000333.SZ,20250826,69.6,70.32,69.4,69.86,69.6,0.26,0.3736,462938.0,3417986.34
000333.SZ,20250827,69.95,70.57,68.81,68.83,69.86,-1.03,-1.4744,488419.0,3605612.81
000333.SZ,20250828,68.83,70.02,68.64,69.58,68.83,0.75,1.0896,432987.0,3171280.84
000333.SZ,20250829,69.58,70.85,69.48,69.78,69.58,0.2,0.2874,567669.0,4210933.5
000333.SZ,20250901,71.0,71.79,69.6,70.08,69.78,0.3,0.4299,776259.0,5792738.59
000333.SZ,20250902,70.25,72.32,70.04,72.1,70.08,2.02,2.8824,805909.0,6106472.17
000333.SZ,20250903,72.47,73.03,70.95,71.59,72.1,-0.51,-0.7074,504881.0,3826685.2
000333.SZ,20250904,71.93,71.95,70.45,71.56,71.59,-0.03,-0.0419,443539.0,3328858.3
000333.SZ,20250905,71.77,72.6,71.42,72.15,71.56,0.59,0.8245,464252.0,3530971.11
000333.SZ,20250908,72.58,73.92,72.42,72.92,72.15,0.77,1.0672,550294.0,4245832.27
000333.SZ,20250909,72.91,73.46,72.28,73.06,72.92,0.14,0.192,383150.0,2947171.77
000333.SZ,20250910,72.89,73.15,72.32,72.91,73.06,-0.15,-0.2053,271542.0,2087580.32
000333.SZ,20250911,72.8,73.15,71.85,72.91,72.91,0.0,0.0,459605.0,3515566.42
000333.SZ,20250912,72.85,73.55,71.39,71.54,72.91,-1.37,-1.879,591171.0,4507931.25
000333.SZ,20250915,71.19,71.9,70.53,71.16,71.54,-0.38,-0.5312,480680.0,3614905.67
000333.SZ,20250916,71.12,71.19,70.1,70.49,71.16,-0.67,-0.9415,456028.0,3396155.2
000333.SZ,20250917,70.44,71.41,70.21,70.38,70.49,-0.11,-0.1561,577227.0,4303710.29
000333.SZ,20250918,70.62,71.33,69.29,69.81,70.38,-0.57,-0.8099,600840.0,4452255.64
000333.SZ,20250919,69.49,70.61,69.3,70.38,69.81,0.57,0.8165,388478.0,2879645.24
000333.SZ,20250922,70.82,70.9,69.01,69.35,70.38,-1.03,-1.4635,479740.0,3520814.68
000333.SZ,20250923,69.34,69.72,68.84,69.61,69.35,0.26,0.3749,421477.0,3082692.7
000333.SZ,20250924,69.59,70.38,69.06,70.15,69.61,0.54,0.7758,306285.0,2260146.5
000333.SZ,20250925,69.39,69.82,68.68,68.95,70.15,-1.2,-1.7106,478607.0,3487388.58
000333.SZ,20250926,69.14,70.72,69.0,70.24,68.95,1.29,1.8709,476983.0,3524465.57
000333.SZ,20250929,70.46,70.57,69.15,69.8,70.24,-0.44,-0.6264,465939.0,3431995.41
000333.SZ,20250930,69.77,69.78,68.68,68.78,69.8,-1.02,-1.4613,506108.0,3690464.28
000333.SZ,20251009,68.49,69.08,67.57,68.76,68.78,-0.02,-0.0291,615939.0,4446685.22
000333.SZ,20251010,68.59,69.8,68.25,68.95,68.76,0.19,0.2763,433305.0,3168138.02
000333.SZ,20251013,67.57,68.26,67.23,67.98,68.95,-0.97,-1.4068,481605.0,3450611.7
000333.SZ,20251014,68.16,69.25,67.87,68.73,67.98,0.75,1.1033,519095.0,3767793.74
000333.SZ,20251015,68.92,69.57,68.73,69.03,68.73,0.3,0.4365,376333.0,2753955.98
000333.SZ,20251016,69.3,69.76,68.65,69.28,69.03,0.25,0.3622,346780.0,2535057.43
000333.SZ,20251017,68.82,69.66,68.77,68.92,69.28,-0.36,-0.5196,276491.0,2017092.91
000333.SZ,20251020,69.19,69.48,68.53,68.98,68.92,0.06,0.0871,297557.0,2166679.57
000333.SZ,20251021,69.01,69.35,68.71,69.02,68.98,0.04,0.058,283947.0,2070032.73
000333.SZ,20251022,68.92,70.04,68.74,69.94,69.02,0.92,1.3329,393298.0,2894112.41
000333.SZ,20251023,69.86,70.95,69.75,70.9,69.94,0.96,1.3726,347633.0,2588236.88
000333.SZ,20251024,70.9,71.0,70.49,70.63,70.9,-0.27,-0.3808,244838.0,1829626.03
