ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
00981.HK,20250704,43.1,44.8,41.5,43.95,43.1,0.85,1.9722,1246804.0,5392124.72
00981.HK,20250707,44.3,45.0,43.7,44.3,43.95,0.35,0.7964,588895.0,2606606.89
00981.HK,20250708,44.65,45.9,44.45,45.65,44.3,1.35,3.0474,688332.0,3113079.0
00981.HK,20250709,45.65,45.7,44.4,44.65,45.65,-1.0,-2.1906,489184.0,2196646.18
00981.HK,20250710,44.75,45.4,44.5,44.95,44.65,0.3,0.6719,398082.0,1792304.26
00981.HK,20250711,44.75,46.85,44.75,45.95,44.95,1.0,2.2247,833449.0,3852759.76
00981.HK,20250714,46.2,47.0,45.7,46.45,45.95,0.5,1.0881,543149.0,2528363.66
00981.HK,20250715,46.4,47.1,44.9,45.6,46.45,-0.85,-1.8299,925584.0,4218269.48
00981.HK,20250716,45.35,46.45,44.55,45.4,45.6,-0.2,-0.4386,583147.0,2664586.79
00981.HK,20250717,45.6,46.55,45.15,46.3,45.4,0.9,1.9824,568364.0,2623705.43
00981.HK,20250718,46.7,47.35,45.95,47.1,46.3,0.8,1.7279,630090.0,2951468.49
00981.HK,20250721,47.45,48.0,46.6,47.25,47.1,0.15,0.3185,575254.0,2723930.17
00981.HK,20250722,47.5,49.2,47.1,48.55,47.25,1.3,2.7513,1010308.0,4899480.38
00981.HK,20250723,49.25,49.3,47.9,48.75,48.55,0.2,0.4119,727029.0,3538326.64
00981.HK,20250724,48.95,51.6,48.75,50.25,48.75,1.5,3.0769,1398725.0,7048749.85
00981.HK,20250725,50.4,53.8,50.2,52.75,50.25,2.5,4.9751,1458373.0,7590908.38
00981.HK,20250728,53.55,53.55,52.0,53.1,52.75,0.35,0.6635,818909.0,4324208.96
00981.HK,20250729,53.1,53.45,51.55,53.35,53.1,0.25,0.4708,679567.0,3570411.34
00981.HK,20250730,52.65,52.65,50.0,50.2,53.35,-3.15,-5.9044,1189437.0,6064938.55
00981.HK,20250731,50.0,52.95,49.1,51.1,50.2,0.9,1.7928,1049071.0,5389700.44
00981.HK,20250801,51.1,52.3,49.9,50.05,51.1,-1.05,-2.0548,658407.0,3339652.39
00981.HK,20250804,49.8,51.75,49.8,51.5,50.05,1.45,2.8971,538738.0,2762951.74
00981.HK,20250805,51.6,52.7,50.5,51.0,51.5,-0.5,-0.9709,695956.0,3598089.02
00981.HK,20250806,51.25,52.95,50.5,52.6,51.0,1.6,3.1373,722452.0,3752208.34
00981.HK,20250807,52.55,54.7,51.85,53.0,52.6,0.4,0.7605,904162.0,4817905.73
00981.HK,20250808,51.0,51.3,48.5,48.66,53.0,-4.34,-8.1887,2186409.0,10862437.94
00981.HK,20250811,49.04,49.24,47.14,48.7,48.66,0.04,0.0822,1092964.0,5252424.96
00981.HK,20250812,48.86,51.55,48.2,51.15,48.7,2.45,5.0308,1122405.0,5643214.2
00981.HK,20250813,51.25,52.1,50.95,52.05,51.15,0.9,1.7595,839596.0,4338376.32
00981.HK,20250814,52.5,54.4,51.85,52.0,52.05,-0.05,-0.0961,1151702.0,6115399.03
00981.HK,20250815,51.75,53.2,51.45,52.75,52.0,0.75,1.4423,800954.0,4198116.12
00981.HK,20250818,53.5,53.8,51.75,51.8,52.75,-0.95,-1.8009,808167.0,4240548.94
00981.HK,20250819,51.85,52.15,49.66,50.05,51.8,-1.75,-3.3784,777865.0,3938378.22
00981.HK,20250820,49.5,52.55,49.4,51.75,50.05,1.7,3.3966,1062350.0,5415142.82
00981.HK,20250821,51.85,53.05,50.9,51.7,51.75,-0.05,-0.0966,675611.0,3500967.48
00981.HK,20250822,52.85,57.5,52.7,56.9,51.7,5.2,10.058,2964551.0,16408960.1
00981.HK,20250825,58.45,61.75,56.0,57.8,56.9,0.9,1.5817,2353111.0,13797807.97
00981.HK,20250826,57.0,57.45,55.4,56.2,57.8,-1.6,-2.7682,1040684.0,5861733.75
00981.HK,20250827,57.0,60.3,55.75,56.25,56.2,0.05,0.089,2219597.0,12950278.96
00981.HK,20250828,57.0,62.8,56.65,62.3,56.25,6.05,10.7556,3281845.0,19836412.05
00981.HK,20250829,62.25,62.25,59.9,60.7,62.3,-1.6,-2.5682,1385008.0,8421519.66
00981.HK,20250901,64.75,65.65,60.55,63.65,60.7,2.95,4.86,1888984.0,11900231.39
00981.HK,20250902,63.8,64.1,58.75,60.7,63.65,-2.95,-4.6347,1892923.0,11551325.83
00981.HK,20250903,61.85,62.1,59.35,60.0,60.7,-0.7,-1.1532,814255.0,4921642.18
00981.HK,20250904,60.2,60.8,55.35,56.0,60.0,-4.0,-6.6667,1878413.0,10686938.02
00981.HK,20250905,56.8,60.2,56.3,58.7,56.0,2.7,4.8214,1585051.0,9247560.55
00981.HK,20250908,58.7,58.8,56.65,58.15,58.7,-0.55,-0.937,970434.0,5587725.88
00981.HK,20250909,58.0,60.65,56.0,58.25,58.15,0.1,0.172,1201019.0,7076891.61
00981.HK,20250910,58.7,60.95,58.7,60.35,58.25,2.1,3.6052,903469.0,5418157.28
00981.HK,20250911,60.1,64.45,59.4,63.35,60.35,3.0,4.971,1348236.0,8470709.38
00981.HK,20250912,64.2,65.0,62.1,62.75,63.35,-0.6,-0.9471,1031393.0,6551506.99
00981.HK,20250915,63.65,64.5,62.55,63.0,62.75,0.25,0.3984,648048.0,4105909.63
00981.HK,20250916,63.1,64.2,61.95,63.2,63.0,0.2,0.3175,761320.0,4815565.28
00981.HK,20250917,64.3,67.8,63.7,67.7,63.2,4.5,7.1203,1696461.0,11267083.95
00981.HK,20250918,68.55,73.3,67.7,69.5,67.7,1.8,2.6588,2439748.0,17235177.26
00981.HK,20250919,71.1,72.5,68.65,69.75,69.5,0.25,0.3597,1512501.0,10678918.08
00981.HK,20250922,69.75,74.05,69.05,73.35,69.75,3.6,5.1613,1365696.0,9878453.94
