ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600900.SH,20250704,29.1,29.32,29.05,29.19,29.1,0.09,0.3093,679228.0,2048728.03
600900.SH,20250707,29.27,29.31,29.11,29.29,29.19,0.1,0.3426,508278.0,1534745.75
600900.SH,20250708,29.3,29.3,28.95,28.96,29.29,-0.33,-1.1267,1073286.0,3219638.66
600900.SH,20250709,28.99,29.14,28.89,29.02,28.96,0.06,0.2072,670383.0,2011578.39
600900.SH,20250710,29.04,29.12,28.85,28.94,29.02,-0.08,-0.2757,947643.0,2835522.29
600900.SH,20250711,28.96,29.61,28.91,29.43,28.94,0.49,1.6932,1642155.0,4984368.45
600900.SH,20250714,29.45,29.8,29.43,29.63,29.43,0.2,0.6796,771547.0,2363137.31
600900.SH,20250715,29.63,29.7,29.38,29.5,29.63,-0.13,-0.4387,562462.0,1714077.28
600900.SH,20250716,29.62,29.68,29.36,29.37,29.5,-0.13,-0.4407,386213.0,1174692.48
600900.SH,20250717,29.35,29.43,29.15,29.19,29.37,-0.18,-0.6129,614655.0,1855170.42
600900.SH,20250718,29.31,29.37,29.12,29.27,29.19,0.08,0.2741,601702.0,1774601.21
600900.SH,20250721,29.46,29.62,29.19,29.28,29.27,0.01,0.0342,778277.0,2301161.42
600900.SH,20250722,29.23,29.28,29.05,29.13,29.28,-0.15,-0.5123,943940.0,2772595.62
600900.SH,20250723,29.18,29.22,28.94,28.95,29.13,-0.18,-0.6179,1073549.0,3142732.51
600900.SH,20250724,28.96,28.96,28.57,28.71,28.95,-0.24,-0.829,1668828.0,4823718.58
600900.SH,20250725,28.63,28.75,28.52,28.52,28.71,-0.19,-0.6618,1008791.0,2910198.55
600900.SH,20250728,28.52,28.61,28.37,28.41,28.52,-0.11,-0.3857,844451.0,2421911.29
600900.SH,20250729,28.38,28.51,28.37,28.4,28.41,-0.01,-0.0352,717720.0,2057394.62
600900.SH,20250730,28.41,28.71,28.41,28.47,28.4,0.07,0.2465,978280.0,2814742.12
600900.SH,20250731,28.19,28.19,27.48,27.62,28.47,-0.85,-2.9856,2579698.0,7209401.33
600900.SH,20250801,27.57,27.83,27.46,27.77,27.62,0.15,0.5431,981486.0,2738151.41
600900.SH,20250804,27.68,27.95,27.58,27.92,27.77,0.15,0.5402,823204.0,2311780.58
600900.SH,20250805,27.92,27.96,27.74,27.88,27.92,-0.04,-0.1433,787153.0,2209870.18
600900.SH,20250806,27.87,27.9,27.65,27.75,27.88,-0.13,-0.4663,1144935.0,3198859.44
600900.SH,20250807,27.72,27.96,27.62,27.84,27.75,0.09,0.3243,1051957.0,2948188.37
600900.SH,20250808,27.84,27.86,27.64,27.64,27.84,-0.2,-0.7184,824972.0,2304820.6
600900.SH,20250811,27.64,27.66,27.29,27.47,27.64,-0.17,-0.6151,1243551.0,3436843.94
600900.SH,20250812,27.47,27.66,27.42,27.54,27.47,0.07,0.2548,743184.0,2065281.07
600900.SH,20250813,27.55,27.63,27.39,27.41,27.54,-0.13,-0.472,934257.0,2589154.7
600900.SH,20250814,27.4,27.67,27.38,27.44,27.41,0.03,0.1094,1017588.0,2824224.36
600900.SH,20250815,27.49,27.56,27.38,27.41,27.44,-0.03,-0.1093,1072302.0,2967736.76
600900.SH,20250818,27.42,27.5,27.33,27.42,27.41,0.01,0.0365,1147362.0,3169229.16
600900.SH,20250819,27.43,27.56,27.39,27.41,27.42,-0.01,-0.0365,1146024.0,3172704.27
600900.SH,20250820,27.38,27.52,27.24,27.47,27.41,0.06,0.2189,1022259.0,2820524.96
600900.SH,20250821,27.47,27.73,27.44,27.63,27.47,0.16,0.5825,1179348.0,3284359.05
600900.SH,20250822,27.66,27.7,27.48,27.65,27.63,0.02,0.0724,1032104.0,2866065.22
600900.SH,20250825,27.82,28.32,27.81,28.13,27.65,0.48,1.736,2185666.0,6194363.0
600900.SH,20250826,28.13,28.17,27.99,28.09,28.13,-0.04,-0.1422,1130612.0,3198022.51
