ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000333.SZ,20260703,77.5,79.9,77.31,77.96,77.01,0.95,1.2336,557803.35,4376620.90201
000333.SZ,20260702,77.61,79.26,76.98,77.01,77.4,-0.39,-0.5039,561467.85,4362682.50319
000333.SZ,20260701,76.01,77.6,73.62,77.4,75.53,1.87,2.4758,502241.6,3810029.15873
000333.SZ,20260630,76.52,78.66,75.31,75.53,77.27,-1.74,-2.2518,577508.98,4402003.72255
000333.SZ,20260629,75.79,77.99,75.14,77.27,74.83,2.44,3.2607,743258.28,5697834.97837
000333.SZ,20260626,76.88,78.94,76.61,78.55,76.5,2.05,2.6797,449533.88,3512507.55612
000333.SZ,20260625,76.64,78.37,76.2,76.5,76.63,-0.13,-0.1696,411489.53,3173689.87216
000333.SZ,20260624,78.5,78.7,76.0,76.63,78.07,-1.44,-1.8445,384877.9,2950191.88716
000333.SZ,20260623,78.17,79.62,77.82,78.07,78.28,-0.21,-0.2683,360891.0,2832542.71024
000333.SZ,20260622,77.33,79.15,76.9,78.28,78.0,0.28,0.359,306709.55,2398663.37726
000333.SZ,20260618,79.23,79.49,77.8,78.0,79.22,-1.22,-1.54,363667.79,2850857.59606
000333.SZ,20260617,78.97,79.85,78.54,79.22,78.96,0.26,0.3293,334472.29,2647888.30823
000333.SZ,20260616,80.97,80.99,78.56,78.96,80.93,-1.97,-2.4342,415238.8,3291473.11458
000333.SZ,20260615,82.95,82.98,80.5,80.93,83.23,-2.3,-2.7634,432925.54,3514282.13545
000333.SZ,20260612,84.5,84.66,82.55,83.23,85.35,-2.12,-2.4839,429352.87,3569548.76146
000333.SZ,20260611,83.66,85.9,83.4,85.35,83.9,1.45,1.7282,521436.92,4432709.13654
000333.SZ,20260610,82.5,84.88,81.47,83.9,82.36,1.54,1.8698,386972.91,3242378.39366
000333.SZ,20260609,82.5,82.99,81.75,82.36,82.85,-0.49,-0.5914,220991.77,1819542.34073
000333.SZ,20260608,81.39,83.75,80.88,82.85,81.69,1.16,1.42,367030.53,3034363.535
000333.SZ,20260605,82.3,83.3,81.6,81.69,82.42,-0.73,-0.8857,209494.37,1725517.859
000333.SZ,20260604,82.05,83.48,81.8,82.42,82.61,-0.19,-0.23,243658.47,2019048.245
000333.SZ,20260603,82.3,82.7,81.56,82.61,82.6,0.01,0.0121,230326.26,1895269.952
000333.SZ,20260602,81.26,82.79,81.22,82.6,81.7,0.9,1.1016,263177.46,2162929.06
000333.SZ,20260601,80.32,82.0,80.29,81.7,80.85,0.85,1.0513,376711.19,3058758.977
000333.SZ,20260529,78.92,81.26,78.5,80.85,78.95,1.9,2.4066,429729.44,3461222.698
000333.SZ,20260528,79.6,79.78,78.61,78.95,80.03,-1.08,-1.3495,241997.52,1913267.193
000333.SZ,20260527,79.53,80.28,78.87,80.03,79.55,0.48,0.6034,255887.79,2034009.882
000333.SZ,20260526,79.8,80.7,79.43,79.55,79.81,-0.26,-0.3258,244953.12,1954515.555
000333.SZ,20260525,80.0,80.14,78.79,79.81,80.28,-0.47,-0.5855,231274.55,1842662.846
000333.SZ,20260522,81.67,82.0,79.89,80.28,81.5,-1.22,-1.4969,309848.02,2493884.552
000333.SZ,20260521,82.15,83.15,81.5,81.5,81.5,0.0,0.0,311812.54,2562761.519
000333.SZ,20260520,80.72,82.16,80.08,81.5,81.0,0.5,0.6173,301597.03,2454297.43
000333.SZ,20260519,82.83,82.84,80.5,81.0,82.83,-1.83,-2.2093,335817.68,2725821.114
000333.SZ,20260518,82.68,83.44,82.08,82.83,82.57,0.26,0.3149,377353.68,3123465.724
000333.SZ,20260515,81.45,83.3,80.75,82.57,81.81,0.76,0.929,426608.57,3525964.212
000333.SZ,20260514,80.39,82.08,80.39,81.81,80.38,1.43,1.779,389266.88,3174393.395
000333.SZ,20260513,79.96,80.95,79.63,80.38,80.09,0.29,0.3621,328496.85,2636662.837
000333.SZ,20260512,80.66,81.17,79.73,80.09,80.67,-0.58,-0.719,357755.83,2875768.679
000333.SZ,20260511,80.14,82.45,79.58,80.67,80.4,0.27,0.3358,436444.07,3540579.382
000333.SZ,20260508,79.65,81.09,79.32,80.4,79.81,0.59,0.7393,282423.27,2273797.15
000333.SZ,20260507,80.0,80.98,79.77,79.81,80.44,-0.63,-0.7832,372176.47,2988466.109
000333.SZ,20260506,79.7,80.88,79.15,80.44,81.1,-0.66,-0.8138,360418.63,2885237.85
000333.SZ,20260430,81.0,82.15,80.61,81.1,81.31,-0.21,-0.2583,354432.69,2889837.73
000333.SZ,20260429,80.55,81.94,80.45,81.31,80.45,0.86,1.069,331107.92,2684108.096
000333.SZ,20260428,79.45,80.8,79.18,80.45,79.5,0.95,1.195,304729.06,2450034.708
000333.SZ,20260427,79.24,80.15,79.01,79.5,79.66,-0.16,-0.2009,258511.62,2060818.397
000333.SZ,20260424,79.56,80.2,79.46,79.66,79.85,-0.19,-0.2379,217880.11,1740580.503
000333.SZ,20260423,79.29,80.15,78.73,79.85,79.3,0.55,0.6936,299432.46,2388456.633
000333.SZ,20260422,79.5,79.63,78.87,79.3,79.5,-0.2,-0.2516,202781.6,1606990.585
000333.SZ,20260421,79.75,80.08,79.2,79.5,79.58,-0.08,-0.1005,238792.88,1903225.382
000333.SZ,20260420,78.4,79.9,78.05,79.58,78.65,0.93,1.1825,276699.79,2201771.534
