ts_code,trade_date,open,high,low,close,vol,amount
00981.HK,20260702,84.1,84.2,78.55,80.4,178219425,14496277976.65
00981.HK,20260630,84.6,91.55,84.25,89.4,176623921,15767983901.05
00981.HK,20260629,79.55,85.8,79.35,84.8,124513219,10281331877.7
00981.HK,20260626,84.5,85.25,79.05,80.0,142920129,11608917778.0
00981.HK,20260625,87.4,88.7,83.8,86.0,127969567,11048462055.25
00981.HK,20260624,77.6,86.45,77.6,84.8,218098916,18241345080.4
00981.HK,20260623,79.2,84.1,76.5,77.85,182963530,14700757649.15
00981.HK,20260622,78.8,82.4,77.15,78.9,171994651,13669507199.7
00981.HK,20260618,76.1,79.45,73.75,76.5,203554119,15559424914.7
00981.HK,20260617,73.0,76.5,72.4,75.75,97501973,7279235013.3
00981.HK,20260616,77.45,77.95,72.95,74.0,74473870,5588484275.9
00981.HK,20260615,74.0,76.95,72.65,76.65,99265387,7521190504.65
00981.HK,20260612,75.55,77.0,71.3,71.65,101440814,7534475268.4
00981.HK,20260611,72.3,73.55,70.5,73.3,80335506,5782299307.37
00981.HK,20260610,74.05,77.8,71.05,72.35,108384523,7967409050.2
00981.HK,20260609,73.0,76.8,71.6,75.0,96331167,7189351420.8
00981.HK,20260608,73.0,76.1,71.15,72.55,140624827,10255444048.95
00981.HK,20260605,80.8,81.45,75.35,75.65,192990499,14927141279.05
00981.HK,20260604,81.65,84.75,80.0,81.5,100629284,8331977554.1
00981.HK,20260603,83.05,85.8,81.9,82.95,111192799,9361647471.05
00981.HK,20260602,79.85,83.4,79.15,81.95,104037549,8492423021.9
00981.HK,20260601,81.3,84.3,78.55,79.45,140374235,11359210365.85
00981.HK,20260529,88.5,89.65,80.8,81.6,214921589,18216477284.68
00981.HK,20260528,84.95,92.5,84.3,88.25,264369889,23659568499.92
00981.HK,20260527,86.0,89.45,83.15,85.2,192709679,16653965063.8
00981.HK,20260526,91.8,93.0,84.1,84.4,371835947,32579806617.8
00981.HK,20260522,76.85,80.1,73.6,79.85,212610930,16513887812.45
00981.HK,20260521,78.0,79.4,73.5,74.2,179007685,13771155178.7
00981.HK,20260520,68.05,77.45,67.6,75.15,258516139,19218462575.85
00981.HK,20260519,67.95,69.4,65.2,68.5,119791532,8014463903.8
00981.HK,20260518,70.55,72.65,67.6,68.7,118961756,8304258621.64
00981.HK,20260515,73.9,76.65,70.75,71.15,156841011,11574741504.15
00981.HK,20260514,75.3,76.1,71.5,71.5,98394521,7186543598.7
00981.HK,20260513,74.35,75.2,72.1,74.15,86814246,6430596721.75
00981.HK,20260512,77.95,78.0,73.4,76.6,99822983,7561506977.1
00981.HK,20260511,75.65,77.85,75.55,76.6,110370158,8474024541.0
00981.HK,20260508,74.85,75.3,72.5,73.35,106496499,7803020446.35
00981.HK,20260507,76.55,79.4,74.35,76.75,145130185,11133754576.4
00981.HK,20260506,73.75,79.4,73.6,74.85,216090246,16500926016.15
00981.HK,20260505,71.3,71.9,70.1,70.8,17343650,1226803515.7
00981.HK,20260504,72.0,74.65,72.0,72.15,39679795,2915603399.85
00981.HK,20260430,66.35,71.7,66.0,70.9,168177459,11666287375.1
00981.HK,20260429,65.65,66.25,64.1,65.8,65251961,4257623647.65
00981.HK,20260428,68.7,68.9,65.3,66.05,95445464,6391136782.05
00981.HK,20260427,67.2,69.95,66.55,68.25,174513759,11971408461.6
00981.HK,20260424,57.7,65.3,57.65,64.3,197782770,12413152552.85
00981.HK,20260423,59.9,60.45,57.7,58.45,53658696,3153160577.25
00981.HK,20260422,59.6,60.15,58.45,59.3,59394935,3512661252.4
00981.HK,20260421,60.3,60.4,59.3,60.1,35219004,2113292179.4
00981.HK,20260420,60.0,60.95,58.8,59.8,56745504,3399472544.95
00981.HK,20260417,60.0,60.45,58.65,59.35,43292976,2572189053.95
00981.HK,20260416,59.3,60.15,58.75,59.95,48238382,2873327858.9
00981.HK,20260415,59.7,60.45,58.65,59.3,68304303,4065827555.2
00981.HK,20260414,58.9,58.9,57.15,57.95,41751669,2421186116.75
00981.HK,20260413,57.4,58.2,56.6,57.15,41213698,2356011426.4
00981.HK,20260410,57.0,59.6,56.9,58.25,104483042,6108620059.05
00981.HK,20260409,55.65,57.0,54.5,55.7,51135459,2865786347.3
00981.HK,20260408,54.8,57.15,53.95,56.15,120792522,6718809753.25
00981.HK,20260402,52.85,52.85,50.05,51.0,65408563,3332648260.0
00981.HK,20260401,52.75,53.65,51.9,52.85,62707381,3312618308.05
00981.HK,20260331,50.8,52.9,50.0,50.7,49238685,2517391877.75
00981.HK,20260330,50.5,51.7,49.32,51.4,79858927,4044725366.39
00981.HK,20260327,52.1,53.45,51.8,52.5,55576934,2930539747.35
00981.HK,20260326,56.0,56.1,52.9,53.15,67639023,3640332231.0
00981.HK,20260325,55.6,57.7,55.6,56.5,55556759,3135582424.15
00981.HK,20260324,55.05,55.2,53.1,55.2,62381777,3394617395.35
00981.HK,20260323,55.0,55.95,52.8,54.15,107629358,5834380334.55
00981.HK,20260320,59.75,60.45,56.3,56.9,86432962,5015536159.0
00981.HK,20260319,60.5,61.1,59.25,59.75,68178947,4095921239.69
00981.HK,20260318,62.3,62.7,61.1,61.7,38618450,2385622047.4
00981.HK,20260317,63.15,63.35,61.1,61.85,44776126,2779765470.35
00981.HK,20260316,61.85,64.15,60.5,62.5,53596361,3338761947.2
